Configuration;BankingSoftware;CoreBanking;OpenAccount;AccountType;Saving;Current;ActivateAccount;ReactivateAccount;CloseAccount;FreezeAccount;Manual;Automatic;AddBeneficiary;InterBank;IntraBank;ATMLogin;UserType;Customer;BankEmployeeLogin;UserType_1;Employee;Cleark;Manager;AssitManager;Accountent;ChangeATMPin;ChangeMaxLimitForOnlineTransfer;ChangePassword;CheckingBalance;CheckingMoneyExchangeRate;BankingMode;ATM;Bank;Online;CreateDemandDraft;CreateDemandDraftOnline;CreditCardPayment;CurrencyExchange;DepositMoney;FastWithdrawal;InterBankTransfer;InternationalTransfer;IntraBankTransfer;LanguageSelection;MobileTopUp;MoneyExchange;OnlineCustomerLogin;PayBills;PrintingBalanceAfterWithdraw;PrintingBankStatement;RemoveBeneficiary;UpdateContactDetails;UserInterface;WithdrawMoney;ChequeClearance;RegisterMobileNoForBanking;ScanSignatureToAccount;AddAccountHolder;DeleteAccountHolder;IssueChequeBook;ChequeBookType;Regular;Multicity;Size;a15;a30;a50;a100;CreateStandingInstruction;DeleteStandingInstruction;CreateECSTransaction;DeleteECSTransaction;CreatePayOrder;CreditThroughRTGS;CreditThroughNEFT;ReconcilingCardsTransactions;CardType;MasterCard;VisaCard;MastroCard;ReconcilingATMTransactions;ScanSignatureToAccount_1;MapDebitCardToAccount;MapChequeBookToAccount;AutoATMPinForDebitCard;CloseFixedDeposit;PreclosureFixedDeposit;CreditInterestToAccount;CancelDemandDraft;CancelPayOrder;LoadCashInATM;DebitAnnualChargesOnDebitCard;Loan;ApplyForLoanOnline;EMICalculator;LoanEligibilityChecker;UploadLoanDocuments;VerifyLoanDocuments;LoanType;Personal;GoldLoan;HomeLoan;VehicleLoan;LoanAgainstFD;LoanAgainstProperty;SanctionLoan;DisburseLoanAmount;LoanRepayment;LoanRepaymentEMI;LoanRepaymentForecloser;RepaymentMode;Cheque;ECS;Cash;AddCoBorrower;VerifyLoanEligibility;AssetVerification;InitiateDefaulterProcess;SendNotice;InsureLoanWithThirdParty;CreditCards;CardType_1;PlatinumCard;TitaniumCard;DinersClubCard;JetPrivilegeCard;InfiniaCard;RegaliaCard;SuperiaCard;TitaniumEdgeCard;SolitaireCard;PaymentMode;Visa;Mastro;Master;AmericanExpress;ApplyForCrediCardOnline;CheckCreditCardStatus;EligibilityChecker;UploadDocuments;VerifyDocuments;CreditRewardPoints;RedemRewardPoints;ConvertTransactionToEMI;PayCreditCardBill;PaymentChannel;Cheque_1;Cash_1;Online_1;NetBanking;DebitCard;ATM_1;PayUtilityBills;ViewAccountSummary;AddPayee;CreateStandingInstructionOnCreditCard;ViewUnbilledTransaction;eStatement;SendSMSAlerts;SendEmailAlerts;GenerateOTP;RegisterForEstatement;ApplyLateFees;ApplyInterestOnOutstandingAmount;ApplyBalanceTransfer;ApplyProcessingFees;CreditBTAmountToOtherCard;CashWithdrawalFromCreditCard;ApplyChargesForCashWithdrawal;ReverseTransaction;ApplyAnnualCharges;CancelStandingInstructionOnCreditCard;RequestDuplicateEstatement;MarkDefaulter;UnmarkDefaulter;InitiateSettlementProcess
30;+;+;+;+;+;-;+;+;+;-;-;-;+;+;+;+;+;+;+;+;+;-;-;-;+;-;+;+;+;-;+;-;+;-;+;+;-;+;-;+;-;+;+;+;+;-;+;-;+;+;+;+;+;-;+;+;+;+;-;+;+;+;+;+;-;+;-;-;+;+;-;+;+;+;-;+;+;-;+;-;-;+;-;+;-;-;+;+;+;-;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;+;+;+;-;-;+;-;-;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31;+;+;+;+;+;-;+;+;-;-;-;-;-;-;-;+;+;+;+;+;+;-;-;-;+;-;-;+;-;+;+;+;-;-;-;+;-;+;-;+;-;+;-;-;+;-;+;-;-;+;-;+;-;+;-;+;+;-;-;+;+;-;+;+;-;-;+;-;+;-;+;-;-;-;-;+;+;-;+;-;+;+;-;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;+;+;+;-;+;+;-;+;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
32;+;+;+;+;-;+;+;+;-;-;-;-;-;-;-;+;+;+;+;+;+;-;+;-;-;-;+;+;-;+;+;-;+;-;-;-;-;+;+;-;-;-;+;-;+;-;+;-;+;+;+;-;-;-;-;-;+;+;-;+;+;+;-;+;-;+;-;-;+;+;-;+;+;+;+;-;-;-;-;-;+;+;+;+;-;-;-;+;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;-;-;+;+;-;+;+;+;-;+;-;+;+;+;+;+;-;+;-;-;-;-;-;-;-;-;-;-;+;-;+;+;-;+;-;+;+;+;+;+;+;-;-;-;+;+;+;-;+;+;+
33;+;+;+;+;-;+;+;+;-;+;+;-;+;+;+;+;+;+;+;+;+;-;-;-;+;-;+;+;+;-;+;-;-;+;+;+;+;+;-;-;-;-;+;+;+;-;+;-;-;-;+;+;-;-;-;-;+;+;+;+;+;+;+;+;+;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;+;-;-;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
34;+;+;+;+;+;-;-;+;+;-;-;-;+;+;-;+;+;+;+;+;+;-;-;-;+;-;-;+;-;-;+;+;-;-;+;-;+;-;-;+;+;-;-;-;-;-;+;-;+;-;-;+;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;+;-;+;+;+;-;+;+;+;-;-;+;+;-;-;+;-;-;+;-;-;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;+;+;+;+;+;+;-;+;-;+;+;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
35;+;+;+;+;-;+;+;-;-;+;-;+;+;+;+;+;+;+;+;+;+;-;-;+;-;-;+;+;-;-;+;-;-;+;-;+;-;-;+;-;+;-;+;-;+;+;+;+;-;-;-;-;-;-;+;-;+;-;+;-;-;-;-;-;-;-;-;-;-;+;+;-;+;-;-;+;+;-;+;-;+;+;+;+;-;-;+;+;-;-;+;+;+;+;+;+;+;+;+;-;-;+;-;-;-;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;-;-;+;-;-;+;-;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;-;+;-;+;-;-;+;+;+;-;+;-;-;+;+;+;-;+;-;-;+;-;+;+;+;+
36;+;+;+;+;+;-;-;-;-;+;+;-;+;-;+;+;+;+;+;+;+;-;+;-;-;-;-;-;-;+;+;-;+;-;-;+;+;-;+;-;-;+;-;-;+;-;+;+;+;+;-;-;+;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;+;+;-;-;-;-;-;+;+;-;+;+;-;+;+;+;-;+;+;+;+;+;+;+;+;+;-;-;-;+;-;-;+;+;+;-;+;+;-;-;+;+;+;-;+;+;+;+;+;-;+;+;+;+;-;-;+;+;+;+;-;+;-;+;+;+;+;+;-;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;-;+;+;+;+;+;+;-;+;-;+;-;+;+;+;+;+;+;+
37;+;+;+;+;+;-;-;+;+;-;-;-;-;-;-;+;+;+;+;+;+;-;+;-;-;-;+;+;-;-;+;+;-;-;+;+;-;+;-;+;+;-;+;+;+;-;+;-;+;+;-;+;+;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;+;-;-;-;-;-;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;-;-;-;+;+;+;-;+;+;-;+;-;+;+;+;+;+;+;+;+;+;+;-;-;-;+;-;+;+;+;+;-;+;-;+;+;+;+;+;-;+;-;+;+;+;+;+;-;+;+;+;+;+;+;+;-;+;-;+;+;+;+;-;+;-;-;+;+;+;+;-;+;+;+
38;+;+;+;+;+;-;-;+;-;-;-;-;-;-;-;+;+;+;+;+;+;-;-;-;+;-;+;+;+;-;+;+;-;-;+;+;-;+;+;+;-;+;+;+;-;-;+;-;-;+;+;+;+;+;+;-;+;+;-;+;+;+;+;+;+;-;-;-;+;+;-;+;+;-;+;+;+;-;+;-;+;+;+;+;-;+;-;+;-;-;+;+;+;+;+;+;+;+;+;-;-;-;-;-;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
39;+;+;+;+;-;+;+;+;+;-;-;-;-;-;-;+;+;+;+;+;+;-;-;+;-;-;-;+;+;-;+;-;-;+;-;+;-;-;+;+;-;-;-;+;+;-;+;-;-;-;-;+;+;-;-;+;+;+;-;+;+;+;+;+;+;-;-;-;+;-;+;+;+;-;-;+;+;-;+;-;+;+;+;+;-;-;-;+;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;+;+;+;+;+;+;-;+;-;+;+;+;+;+;-;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;-;+;-;+;+;+;+;-;+;-;-;-;+;+;+;+;+;+;+
40;+;+;+;+;+;-;+;+;-;-;-;-;-;-;-;+;+;+;+;+;+;-;-;-;+;+;+;+;-;-;+;+;-;-;-;-;-;-;-;+;-;+;+;-;+;-;+;-;+;+;-;+;+;-;+;+;+;-;+;-;-;-;-;-;-;-;-;-;-;+;-;+;+;-;+;-;-;-;-;-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;+;-;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;-;-;-;-;+;+;+;+;+;-;-;+;-;+;+;+;+;+;-;+;+;+;+;+;+;+;-;+;-;+;+;-;+;+;+;+;-;+;+;+;+;-;+;+;+;+;+;+;+;-;+;+;+
41;+;+;+;+;-;+;+;-;-;-;-;-;-;-;-;+;+;+;+;+;+;-;-;-;+;-;-;+;-;-;+;-;+;-;+;+;+;+;-;+;-;+;+;-;-;-;+;-;+;-;-;+;-;-;+;-;+;-;-;+;+;+;-;+;+;-;-;-;+;-;+;+;+;-;+;-;-;-;-;-;+;+;-;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;-;+;-;-;-;-;+;+;+;+;-;+;+;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
42;+;+;+;+;-;+;+;+;+;+;+;-;-;-;-;+;+;+;+;+;+;-;+;-;-;-;-;+;+;+;+;-;-;+;+;+;+;+;-;-;-;-;+;-;+;-;+;-;+;-;+;+;-;+;-;+;+;-;-;+;+;-;+;+;+;-;-;-;+;-;-;+;+;+;-;+;+;-;+;-;-;+;-;-;+;-;+;+;-;+;+;+;+;+;+;+;+;+;+;-;-;-;-;+;-;+;+;+;-;-;+;+;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
43;+;+;+;+;-;+;-;+;+;+;+;-;-;-;-;+;+;+;+;+;+;+;-;-;-;+;+;-;+;-;+;+;-;-;+;-;+;-;-;+;+;-;+;-;-;+;+;+;+;-;+;-;+;-;-;-;+;-;+;+;+;-;+;+;+;-;-;-;+;+;-;+;+;-;-;+;+;-;+;-;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;-;-;-;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
44;+;+;+;+;-;+;+;-;+;-;-;-;+;-;+;+;+;+;+;+;+;-;-;-;+;-;-;+;+;-;+;-;+;-;+;+;+;+;+;+;-;-;-;-;-;-;+;-;-;+;-;+;+;-;-;-;+;+;-;+;+;-;+;+;+;-;-;-;+;+;+;+;+;+;-;+;+;-;+;-;+;+;+;+;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;-;-;-;+;+;+;+;-;+;+;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
45;+;+;+;+;-;+;+;+;-;-;-;-;-;-;-;+;+;+;+;+;+;-;-;-;+;-;+;+;+;-;+;-;+;-;+;+;+;+;-;+;+;-;+;-;+;-;+;-;-;-;+;+;+;-;+;+;+;-;-;+;+;+;-;+;+;-;-;-;+;-;+;+;+;+;-;+;+;-;+;-;+;+;-;+;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;+;+;+;+;-;+;+;-;-;+;+;+;+;+;+;+;+;-;-;+;+;-;+;-;+;+;+;-;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;-;+;+;+;-;+;+;-;+;+;+;+;-;+;-;-;-;+;+;+;-;+;+;+
46;+;+;+;+;-;+;+;-;-;-;-;-;+;-;+;+;+;+;+;+;+;-;+;-;-;-;+;+;-;-;+;-;-;+;+;+;+;+;+;+;-;-;+;-;-;-;+;-;-;-;-;+;+;-;+;+;+;-;+;+;+;+;+;+;+;-;-;-;+;+;-;+;+;+;+;+;+;-;+;-;-;+;+;+;-;+;-;+;-;-;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;+;+;+;+;+;+;-;+;-;+;+;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
47;+;+;+;+;-;+;+;-;-;+;+;-;+;-;+;+;+;+;+;+;+;-;-;-;+;-;+;+;-;-;+;-;+;-;+;+;+;+;-;+;-;-;+;-;-;-;+;-;-;-;+;+;+;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;+;+;+;+;+;-;-;+;-;+;+;+;-;+;+;+;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48;+;+;+;+;-;+;+;+;+;-;-;-;-;-;-;+;+;+;+;+;+;-;-;-;+;-;+;+;-;-;+;-;+;-;+;+;+;+;-;+;-;-;+;+;-;-;+;-;+;-;+;+;-;-;+;-;+;-;+;+;+;+;-;+;+;-;-;-;-;-;-;+;+;-;-;+;+;-;+;-;+;+;+;-;-;+;+;+;-;-;+;+;+;+;+;+;+;+;+;-;-;-;+;-;-;+;+;+;+;+;+;+;-;-;+;+;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
