Configuration;BerkeleyDb;BerkeleyDB;FLogging;Logging;featureLoggingFile;featureLoggingConsole;featureLoggingDbLog;featureLoggingFinest;featureLoggingFiner;featureLoggingFine;featureLoggingInfo;featureLoggingConfig;featureLoggingSevere;featureLoggingBase;FPersistency;Persistency;FPersistencyFeatures;featureChecksum;featureFileHandleCache;featureHandleFullDiscError;featureEnvironmentLock;Checkpointer;featureCustomizableCheckpointerTime;featureCustomizableCheckpointerBytes;featureCheckpointerDaemon;Cleaner;featureLookAheadCache;featureCleanerDaemon;FIOFeature;NIO;featureDirectNIO;FNIOType;featureNIO;featureChunkedNIO;IO;featureSynchronizedIO;featureIO;FStatistics;Statistics;FStatisticsFeatures;EnvStats;featureStatisticsEnvLog;featureStatisticsEnvINCompressor;featureStatisticsEnvFSync;featureStatisticsEnvEvictor;featureStatisticsEnvCleaner;featureStatisticsEnvCheckpointer;featureStatisticsEnvCaching;featureStatisticsEnvBase;featureStatisticsDatabase;featureStatisticsLock;featureStatisticsPreload;featureStatisticsSequence;featureStatisticsTransaction;featureStatisticsBase;featureMemoryBudget;FConcurrency;featureLatch;featureFSync;featureTransaction;dummyFeatureLocking;featureCheckLeaks;FDbOperation;featureDeleteDb;featureTruncateDb;FBtree;BTree;featureVerifier;featureTreeVisitor;featureINCompressor;FEvictor;Evictor;featureCriticalEviction;featureEvictorDaemon;featureEvictor;BASE
81;+;+;+;+;+;+;-;+;+;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;-;+;-;-;-;+;+;+;+;-;+;+;+;+;+;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
82;+;+;+;+;-;-;-;+;+;+;+;+;-;+;+;+;+;+;+;-;+;+;+;+;+;-;-;-;+;+;+;+;-;+;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
83;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;-;-;-;-;+;-;-;+;+;+;+;+;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;+;-;+;-;+;-;+;-;-;-;+;+;-;-;-;+;+;-;-;-;-;-;-;-;-;+
84;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;+;-;-;+;-;+;-;+;-;-;-;+;-;-;-;-;+;+;-;+;-;-;-;-;-;-;+
85;+;+;+;+;-;+;+;-;+;-;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;-;+;+;-;-;-;-;-;+;+;+;+;+;+;+;-;+;+;+;+;+;-;+;-;+;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
86;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;+;-;+;+;+;+;+;-;+;+;-;-;-;-;-;+;+;+;+;+;+;+;-;+;-;+;-;+;-;+;+;+;-;+;-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
87;+;+;+;+;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
88;+;+;+;+;-;+;+;+;-;-;-;+;-;+;+;+;+;-;+;-;-;-;-;-;-;+;-;+;+;+;+;+;-;+;-;-;-;+;+;+;+;+;+;+;+;-;+;-;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+
89;+;+;+;+;-;+;-;+;-;+;-;-;+;+;+;+;+;-;+;-;+;+;+;+;+;+;-;+;+;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;-;-;+;-;+;-;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
90;+;+;+;+;-;+;-;+;+;-;+;-;-;+;+;+;+;+;+;-;+;+;-;-;+;-;-;-;+;+;+;+;-;+;-;-;-;+;+;+;+;+;+;+;+;-;+;+;+;-;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+
91;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;-;+;+;-;-;+;+;-;+;+;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+
92;+;+;+;+;-;+;+;+;-;-;-;-;-;+;+;+;+;-;+;+;+;+;+;+;+;+;+;-;+;-;-;-;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
93;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;-;+;-;+;-;+;-;-;-;-;+;+;-;+;-;-;-;-;-;-;+
94;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;-;-;-;-;+;-;-;+;+;-;+;-;+;-;+;-;-;-;-;-;-;+;+;-;-;+;-;-;-;-;-;+
95;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;-;-;-;-;-;-;+;-;+;+;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+
96;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;+;+;+;+;+;+;+;-;-;-;+;+;-;+;-;+;+;-;-;+;-;+;-;-;-;+;+;-;-;-;+;+;-;-;-;-;-;-;-;-;+
97;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;+;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+
98;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;-;+;+;+;+;+;-;+;+;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;-;-;-;-;+;+;-;-;+;-;-;-;-;-;+
99;+;+;+;+;-;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;+;+;+;+;-;+;-;-;-;+;+;+;+;+;+;-;+;-;+;-;+;-;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
100;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;+;+;+;+;+;+;-;-;-;+;-;-;+;+;-;+;+;-;+;-;-;-;-;-;-;-;-;-;-;+;+;-;+;-;-;-;-;-;-;+
101;+;+;+;+;-;+;+;+;+;-;-;+;+;+;+;+;+;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;+;+;+;+;+;+;-;+;+;+;+;+;-;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
102;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;+;-;-;-;-;-;+;+;+;+;+;+;+;+;-;-;-;-;+;+;+;+;-;+;-;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
103;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;+;+;+;+;+;+;-;+;+;+;+;+;-;+;-;-;-;+;+;+;+;-;-;+;-;+;-;-;+;-;-;+;+;-;+;-;+;-;+;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+
104;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;-;+;+;+;+;-;-;-;+;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+
105;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;+;+;+;+;+;+;-;-;-;+;+;+;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+
106;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;+;+;+;+;+;-;+;-;-;-;+;-;+;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;+;+;-;-;+;-;-;-;-;-;+
107;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;+;-;+;+;+;+;-;-;-;-;-;-;-;-;-;+;-;+;-;-;+;-;+;-;+;-;-;-;-;-;-;+;+;-;+;-;-;-;-;-;-;+
108;+;+;+;+;-;+;+;+;+;-;+;+;-;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;-;-;-;-;-;+;-;+;+;+;+;-;-;-;-;-;-;-;-;-;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
109;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;-;+;+;+;+;+;-;+;+;+;+;+;-;+;-;-;-;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+
110;+;+;+;+;-;+;-;+;+;-;+;-;+;+;+;+;+;+;+;-;+;+;+;+;+;+;-;+;+;+;+;+;-;+;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+
111;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;+;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+
112;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;-;-;-;+;+;+;+;+;+;+;-;-;+;-;+;-;-;+;-;-;+;-;+;-;+;-;+;-;-;-;-;+;+;-;-;+;-;-;-;-;-;+
113;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;+;+;+;+;+;+;-;-;+;-;-;-;-;-;+;-;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;-;+;-;-;-;+;-;-;-;-;+;+;-;-;-;-;-;-;-;-;+
